First root.player = true
parent: 0
current.player: false
parent.id = 0, parent.coordinate: {8 8}, parent.value = 0
child.id = 193, child.coordinate: {8 10}, child.value = 4494365
child.id = 194, child.coordinate: {8 11}, child.value = 2261358
child.id = 195, child.coordinate: {8 12}, child.value = 1141614
child.id = 196, child.coordinate: {9 4}, child.value = 13766
child.id = 197, child.coordinate: {9 5}, child.value = 21866
child.id = 198, child.coordinate: {9 6}, child.value = 20409
child.id = 199, child.coordinate: {9 7}, child.value = 8973502
child.id = 200, child.coordinate: {9 8}, child.value = 8973341
child.id = 201, child.coordinate: {9 10}, child.value = 19845
child.id = 202, child.coordinate: {9 11}, child.value = 20088
child.id = 203, child.coordinate: {9 12}, child.value = 20655
child.id = 204, child.coordinate: {10 4}, child.value = 13766
child.id = 205, child.coordinate: {10 5}, child.value = 26244
child.id = 206, child.coordinate: {10 6}, child.value = 4500846
child.id = 207, child.coordinate: {10 7}, child.value = 26244
child.id = 208, child.coordinate: {10 8}, child.value = 4494447
child.id = 209, child.coordinate: {10 9}, child.value = 19845
child.id = 210, child.coordinate: {10 10}, child.value = 19845
child.id = 211, child.coordinate: {10 11}, child.value = 26244
child.id = 212, child.coordinate: {10 12}, child.value = 26244
child.id = 213, child.coordinate: {11 4}, child.value = 13766
child.id = 214, child.coordinate: {11 5}, child.value = 2261358
child.id = 215, child.coordinate: {11 6}, child.value = 26244
child.id = 216, child.coordinate: {11 7}, child.value = 20088
child.id = 217, child.coordinate: {11 8}, child.value = 2261358
child.id = 218, child.coordinate: {11 9}, child.value = 20088
child.id = 219, child.coordinate: {11 10}, child.value = 26244
child.id = 220, child.coordinate: {11 11}, child.value = 20088
child.id = 221, child.coordinate: {11 12}, child.value = 26244
child.id = 222, child.coordinate: {12 4}, child.value = 385556
child.id = 223, child.coordinate: {12 5}, child.value = 26244
child.id = 224, child.coordinate: {12 6}, child.value = 20655
child.id = 225, child.coordinate: {12 7}, child.value = 26244
child.id = 226, child.coordinate: {12 8}, child.value = 1141614
child.id = 227, child.coordinate: {12 9}, child.value = 20655
child.id = 228, child.coordinate: {12 10}, child.value = 26244
child.id = 229, child.coordinate: {12 11}, child.value = 26244
child.id = 230, child.coordinate: {12 12}, child.value = 20655

parent: 2
current.player: true
parent.id = 2, parent.coordinate: {4 5}, parent.value = 14094
child.id = 231, child.coordinate: {0 1}, child.value = 105
child.id = 232, child.coordinate: {0 2}, child.value = 164
child.id = 233, child.coordinate: {0 3}, child.value = 169
child.id = 234, child.coordinate: {0 4}, child.value = 186
child.id = 235, child.coordinate: {0 5}, child.value = 186
child.id = 236, child.coordinate: {0 6}, child.value = 244
child.id = 237, child.coordinate: {0 7}, child.value = 244
child.id = 238, child.coordinate: {0 8}, child.value = 244
child.id = 239, child.coordinate: {0 9}, child.value = 186
child.id = 240, child.coordinate: {1 1}, child.value = 487
child.id = 241, child.coordinate: {1 2}, child.value = 586
child.id = 242, child.coordinate: {1 3}, child.value = 1311
child.id = 243, child.coordinate: {1 4}, child.value = 2885
child.id = 244, child.coordinate: {1 5}, child.value = 6900
child.id = 245, child.coordinate: {1 6}, child.value = 7047
child.id = 246, child.coordinate: {1 7}, child.value = 7047
child.id = 247, child.coordinate: {1 8}, child.value = 6900
child.id = 248, child.coordinate: {1 9}, child.value = 7047
child.id = 249, child.coordinate: {2 1}, child.value = 733
child.id = 250, child.coordinate: {2 2}, child.value = 1228
child.id = 251, child.coordinate: {2 3}, child.value = 1432
child.id = 252, child.coordinate: {2 4}, child.value = 3452
child.id = 253, child.coordinate: {2 5}, child.value = 7384
child.id = 254, child.coordinate: {2 6}, child.value = 7776
child.id = 255, child.coordinate: {2 7}, child.value = 7384
child.id = 256, child.coordinate: {2 8}, child.value = 7776
child.id = 257, child.coordinate: {2 9}, child.value = 7776
child.id = 258, child.coordinate: {3 1}, child.value = 1307
child.id = 259, child.coordinate: {3 2}, child.value = 1816
child.id = 260, child.coordinate: {3 3}, child.value = 3021
child.id = 261, child.coordinate: {3 4}, child.value = 3814
child.id = 262, child.coordinate: {3 5}, child.value = 8516
child.id = 263, child.coordinate: {3 6}, child.value = 8516
child.id = 264, child.coordinate: {3 7}, child.value = 9477
child.id = 265, child.coordinate: {3 8}, child.value = 9477
child.id = 266, child.coordinate: {3 9}, child.value = 9477
child.id = 267, child.coordinate: {4 1}, child.value = 2753
child.id = 268, child.coordinate: {4 2}, child.value = 3049
child.id = 269, child.coordinate: {4 3}, child.value = 3793
child.id = 270, child.coordinate: {4 4}, child.value = 4211
child.id = 271, child.coordinate: {4 6}, child.value = 7695
child.id = 272, child.coordinate: {4 7}, child.value = 7938
child.id = 273, child.coordinate: {4 8}, child.value = 6831
child.id = 274, child.coordinate: {4 9}, child.value = 10044
child.id = 275, child.coordinate: {5 1}, child.value = 6965
child.id = 276, child.coordinate: {5 2}, child.value = 7612
child.id = 277, child.coordinate: {5 3}, child.value = 9231
child.id = 278, child.coordinate: {5 4}, child.value = 11633
child.id = 279, child.coordinate: {5 5}, child.value = 14009
child.id = 280, child.coordinate: {5 6}, child.value = 19845
child.id = 281, child.coordinate: {5 7}, child.value = 26244
child.id = 282, child.coordinate: {5 8}, child.value = 21870
child.id = 283, child.coordinate: {5 9}, child.value = 21866
child.id = 284, child.coordinate: {6 1}, child.value = 6965
child.id = 285, child.coordinate: {6 2}, child.value = 7612
child.id = 286, child.coordinate: {6 3}, child.value = 8547
child.id = 287, child.coordinate: {6 4}, child.value = 13766
child.id = 288, child.coordinate: {6 5}, child.value = 20088
child.id = 289, child.coordinate: {6 6}, child.value = 19923
child.id = 290, child.coordinate: {6 7}, child.value = 20088
child.id = 291, child.coordinate: {6 8}, child.value = 21870
child.id = 292, child.coordinate: {6 9}, child.value = 20409
child.id = 293, child.coordinate: {7 1}, child.value = 6965
child.id = 294, child.coordinate: {7 2}, child.value = 7405
child.id = 295, child.coordinate: {7 3}, child.value = 9231
child.id = 296, child.coordinate: {7 4}, child.value = 13766
child.id = 297, child.coordinate: {7 5}, child.value = 20655
child.id = 298, child.coordinate: {7 6}, child.value = 26244
child.id = 299, child.coordinate: {7 7}, child.value = 19762
child.id = 300, child.coordinate: {7 8}, child.value = 16281
child.id = 301, child.coordinate: {7 9}, child.value = 15550
child.id = 302, child.coordinate: {8 1}, child.value = 6915
child.id = 303, child.coordinate: {8 2}, child.value = 7612
child.id = 304, child.coordinate: {8 3}, child.value = 9231
child.id = 305, child.coordinate: {8 4}, child.value = 12092
child.id = 306, child.coordinate: {8 5}, child.value = 17820
child.id = 307, child.coordinate: {8 6}, child.value = 21870
child.id = 308, child.coordinate: {8 7}, child.value = 21870
child.id = 309, child.coordinate: {8 9}, child.value = 8969291
child.id = 310, child.coordinate: {4 10}, child.value = 14094
child.id = 311, child.coordinate: {4 11}, child.value = 14094
child.id = 312, child.coordinate: {4 12}, child.value = 12420
child.id = 313, child.coordinate: {5 10}, child.value = 26244
child.id = 314, child.coordinate: {5 11}, child.value = 21870
child.id = 315, child.coordinate: {5 12}, child.value = 26244
child.id = 316, child.coordinate: {6 10}, child.value = 21870
child.id = 317, child.coordinate: {6 11}, child.value = 26244
child.id = 318, child.coordinate: {6 12}, child.value = 20409
child.id = 319, child.coordinate: {7 10}, child.value = 26244
child.id = 320, child.coordinate: {7 11}, child.value = 19924
